unique_fov,Marker,r,Theoretical G,Observed G,Permuted G,Degree of Clustering Permutation,Degree of Clustering Theoretical,Run
Lung9_Rep1_F01,e,60,0.17156316761436297,0.5236486486486487,0.1537240621748355,0.3699245864738132,0.3520854810342857,1
Lung9_Rep1_F01,e,70,0.2259982184229139,0.5932203389830508,0.21518698805737768,0.37803335092567314,0.3672221205601369,1
Lung9_Rep1_F01,e,80,0.28437850526402453,0.6552901023890785,0.2799430416129859,0.3753470607760926,0.37091159712505395,1
Lung9_Rep1_F01,e,90,0.3452377254438983,0.6920415224913494,0.34271835012696966,0.34932317236437976,0.3468037970474511,1
Lung9_Rep1_F01,e,100,0.40715279571385365,0.7491289198606271,0.40328686753952575,0.3458420523211014,0.3419761241467735,1
Lung9_Rep1_F01,e,110,0.46879670630419557,0.7719298245614035,0.4691270311529333,0.30280279340847016,0.3031331182572079,1
Lung9_Rep1_F01,e,120,0.5289818984239929,0.8056537102473498,0.532915686397718,0.27273802384963175,0.2766718118233569,1
Lung9_Rep1_F01,e,130,0.5866924947018131,0.8226950354609929,0.5909032652406003,0.23179177022039255,0.2360025407591798,1
Lung9_Rep1_F01,e,140,0.6411046418515607,0.8428571428571429,0.6456988720047704,0.19715827085237247,0.20175250100558217,1
Lung9_Rep1_F01,e,150,0.6915951164549967,0.8637992831541219,0.6994949478974324,0.16430433525668953,0.1722041666991252,1
Lung9_Rep1_F01,e,160,0.7377391242781473,0.8808664259927798,0.7454833194586014,0.1353831065341784,0.1431273017146325,1
Lung9_Rep1_F01,e,170,0.7792988362536503,0.8905109489051095,0.7879717898782457,0.10253915902686384,0.11121211265145925,1
Lung9_Rep1_F01,e,180,0.8162046181517107,0.9037037037037037,0.82330430714823,0.08039939655547368,0.08749908555199293,1
Lung9_Rep1_F01,e,190,0.8485311172466832,0.9067164179104478,0.8506750704088286,0.056041347501619154,0.058185300663764594,1
Lung9_Rep1_F01,e,200,0.8764703801998318,0.9138576779026217,0.8791269359838234,0.034730741918798325,0.03738729770278992,1
Lung9_Rep1_F01,f,0,0,0,0,0,0,1
Lung9_Rep1_F01,f,10,0.02015313421028564,0,0,0,-0.02015313421028564,1
Lung9_Rep1_F01,f,20,0.07820821965988722,0.003246753246753247,4.2345604636003805e-4,0.0028232972003932088,-0.07496146641313398,1
Lung9_Rep1_F01,f,30,0.1674240335751528,0.04101722723543889,0.019621038102580368,0.02139618913285852,-0.1264068063397139,1
Lung9_Rep1_F01,f,40,0.27800976333736327,0.207953603976802,0.11186114437701102,0.09609245959979097,-0.07005615936056128,1
Lung9_Rep1_F01,f,50,0.398888280961301,0.4845188284518828,0.2905860294474179,0.19393279900446492,0.0856305474905818,1
Lung9_Rep1_F01,f,60,0.5194976891487209,0.683277027027027,0.4753405132935461,0.20793651373348088,0.16377933787830612,1
Lung9_Rep1_F01,f,70,0.6312328881366182,0.8163265306122449,0.6201419864491844,0.19618454416306053,0.18509364247562676,1
Lung9_Rep1_F01,f,80,0.7282776894397094,0.876385336743393,0.7267650884249853,0.1496202483184077,0.14810764730368364,1
Lung9_Rep1_F01,f,90,0.8077728037985669,0.9165950128976784,0.8084760849250333,0.1081189279726451,0.10882220909911156,1
Lung9_Rep1_F01,f,100,0.8694368018659314,0.9396031061259706,0.8682139716068058,0.07138913451916484,0.07016630426003923,1
Lung9_Rep1_F01,f,110,0.9148581380877552,0.9582971329278888,0.9149232951591254,0.04337383776876336,0.04343899484013358,1
Lung9_Rep1_F01,f,120,0.9466932847080317,0.9675153643546971,0.9477758476640166,0.019739516690680525,0.02082207964666538,1
Lung9_Rep1_F01,f,130,0.9679567087345384,0.9795191451469278,0.9679220132771252,0.011597131869802602,0.01156243641238941,1
Lung9_Rep1_F01,f,140,0.9815069421635477,0.9856244384546271,0.9815620634388059,0.004062375015821185,0.004117496291079381,1
Lung9_Rep1_F01,f,150,0.9897529995807169,0.9909747292418772,0.9897970302402208,0.0011776990016564293,0.001221729661160298,1
Lung9_Rep1_F01,f,160,0.9945486860353736,0.991810737033667,0.9942201565913974,-0.002409419557730441,-0.002737949001706652,1
Lung9_Rep1_F01,f,170,0.9972156613697601,0.9926739926739927,0.9969194469654373,-0.004245454291444628,-0.004541668695767442,1
Lung9_Rep1_F01,f,180,0.9986346018008186,0.992633517495396,0.9986707518631651,-0.006037234367769151,-0.006001084305422677,1
Lung9_Rep1_F01,f,190,0.9993571450176917,0.9972222222222222,0.9993287016066638,-0.0021064793844415286,-0.0021349227954694516,1
Lung9_Rep1_F01,f,200,0.9997094083585205,0.9972014925373134,0.9996701305002201,-0.00246863796290675,-0.0025079158212071295,1
Lung9_Rep1_F01,g,0,0,0,0,0,0,1
Lung9_Rep1_F01,g,10,0.010933637120095652,0,0,0,-0.010933637120095652,1
Lung9_Rep1_F01,g,20,0.04302249588673224,0.0029985007496251873,4.8312215783828313e-4,0.002515378591786904,-0.04002399513710705,1
Lung9_Rep1_F01,g,30,0.09420714647847195,0.04072398190045249,0.010912254637440708,0.029811727263011782,-0.05348316457801946,1
Lung9_Rep1_F01,g,40,0.16129947407195733,0.197869101978691,0.06393959703144503,0.13392950494724598,0.03656962790673368,1
Lung9_Rep1_F01,g,50,0.24031105736963188,0.44104134762633995,0.16770996577193706,0.27333138185440287,0.20073029025670808,1
Lung9_Rep1_F01,g,60,0.3268442504368049,0.6578947368421053,0.2845688765547582,0.3733258602873471,0.33105048640530044,1
Lung9_Rep1_F01,g,70,0.41649285506545575,0.7628705148205929,0.39767750631338716,0.3651930085072057,0.3463776597551371,1
Lung9_Rep1_F01,g,80,0.5052023122954026,0.8362204724409449,0.49427329732455355,0.34194717511639133,0.3310181601455423,1
Lung9_Rep1_F01,g,90,0.5895502372463268,0.8596491228070176,0.5835098532810725,0.27613926952594503,0.2700988855606907,1
Lung9_Rep1_F01,g,100,0.6669240916510761,0.8860353130016051,0.6623101135942913,0.22372519940731384,0.21911122135052896,1
Lung9_Rep1_F01,g,110,0.7355903523942248,0.9108589951377634,0.7334681983696351,0.1773907967681283,0.1752686427435386,1
Lung9_Rep1_F01,g,120,0.794665351940517,0.9248366013071896,0.7954878978157256,0.129348703491464,0.13017124936667257,1
Lung9_Rep1_F01,g,130,0.8440095383303126,0.9486754966887417,0.8443178962741608,0.10435760041458098,0.10466595835842918,1
Lung9_Rep1_F01,g,140,0.884072969066021,0.9599332220367279,0.8836995495636841,0.0762336724730438,0.07586025297070698,1
Lung9_Rep1_F01,g,150,0.9157204424188763,0.9681208053691275,0.9152206251771254,0.052900180192002044,0.05240036295025119,1
Lung9_Rep1_F01,g,160,0.9400608409267236,0.96964586846543,0.9402396672387278,0.029406201226702233,0.0295850275387064,1
Lung9_Rep1_F01,g,170,0.9582986697880935,0.9762308998302207,0.9578999687256186,0.018330931104602155,0.017932230042127184,1
Lung9_Rep1_F01,g,180,0.9716181934295679,0.9809688581314879,0.971595042423879,0.009373815707608979,0.00935066470192003,1
Lung9_Rep1_F01,g,190,0.9811035149753665,0.9808027923211169,0.9805177523135102,2.850400076066517e-4,-3.0072265424962996e-4,1
Lung9_Rep1_F01,g,200,0.9876924138667075,0.9824253075571178,0.9872667465917483,-0.004841439034630524,-0.005267106309589709,1
Lung9_Rep1_F01,h,0,0,0,0,0,0,1
Lung9_Rep1_F01,h,10,0.03171841018092114,0,0,0,-0.03171841018092114,1
Lung9_Rep1_F01,h,20,0.12096392548890722,0.002056555269922879,0.0011124326159586027,9.441226539642763e-4,-0.11890737021898434,1
Lung9_Rep1_F01,h,30,0.25180453545955706,0.04417879417879418,0.03182542275016248,0.012353371428631701,-0.2076257412807629,1
Lung9_Rep1_F01,h,40,0.402927878861403,0.25798011512297225,0.17107329086584058,0.08690682425713167,-0.14494776373843077,1
Lung9_Rep1_F01,h,50,0.5532733469605599,0.6044303797468354,0.4209021675252226,0.18352821222161286,0.05115703278627559,1
Lung9_Rep1_F01,h,60,0.6866279310307276,0.8196371398078975,0.6402751610060755,0.17936197880182203,0.13300920877716993,1
Lung9_Rep1_F01,h,70,0.7938980719719059,0.9128094725511302,0.7892669353513049,0.12354253719982533,0.11891140057922434,1
Lung9_Rep1_F01,h,80,0.8729112309555718,0.9538043478260869,0.8774092417943555,0.07639510603173139,0.08089311687051515,1
